§º·´ÅÍ§ÃÒÂà¢µ	¢éÍÁÙÅ»Ñ¨¨ØºÑ¹(04.08.201717:50:19)
¼Ñ§ºÑ­ªÕ	¼Ñ§ºÑ­ªÕ ¡ÒÃä¿¿éÒÊèÇ¹ÀÙÁÔÀÒ¤
ÃËÑÊºÃÔÉÑ·	9000 ¡ÒÃä¿¿éÒÊèÇ¹ÀÙÁÔÀÒ¤
àÅ¢·ÕèºÑ­ªÕ	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	FY2015	ÂÍ´ÃÇÁ ¡¿À.
	§Ç´   1-   1;&N1	§Ç´   1-   1;&N2	§Ç´   1-   1;&N3	§Ç´   1-   1;&E1	§Ç´   1-   1;&E2	§Ç´   1-   1;&E3	§Ç´   1-   1;&C1	§Ç´   1-   1;&C2	§Ç´   1-   1;&C3	§Ç´   1-   1;&S1	§Ç´   1-   1;&S2	§Ç´   1-   1;&S3	§Ç´   1-   1;&Y000	§Ç´   1-   1;&Z000	§Ç´   1-   1;&BLANK	
áÊ´§ã¹	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB	1 THB
11000018   Adj.à§Ô¹Ê´ã¹Á×Í-¡¡·.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	           -4072.74	               0.00	               0.00	           -4072.74
11000020   àªç¤ã¹Á×Í-POS	          667640.18	          147728.59	           96733.22	          109752.93	         1616197.70	               0.00	         6004735.43	         1339819.33	         4514681.65	            6485.42	               0.00	          885196.21	               0.00	               0.00	               0.00	        15388970.66
11000030   àªç¤ã¹Á×ÍDirectDebit	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11000040   à§Ô¹Ê´ã¹Á×Í-POS	          284426.00	          445730.25	          558246.25	          817000.75	          625078.50	          494282.25	         2999648.75	         1833559.50	         1070452.75	          900421.88	          129819.50	         2698794.25	            4072.74	           49906.75	               0.00	        12911440.12
11000050   à§Ô¹Ê´µÙéAPM	               0.00	               0.00	               0.00	               0.00	           19200.67	               0.00	               0.00	           19002.00	               0.00	               0.00	           19200.00	               0.00	               0.00	               0.00	               0.00	           57402.67
11001010   à§Ô¹Ê´ÂèÍÂ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	         7145000.00	               0.00	         7145000.00
11001020   §/Ê ÂèÍÂÃÍàºÔ¡ª´àªÂ	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	        -2759207.94	               0.00	        -2759207.94
11019020   C/A BOT 001666-1 Ê¹­	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	            5000.00	               0.00	            5000.00
11020030   C/A BBL 08284-8·èÒá¾	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11020031   C/A BBL 08284-8·èÒá¾	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11020070   C/A BBL 00189-9 ´¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11020071   C/A BBL 00189-9 ´¡.	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
11020210   C/A BBL 00074-5 Ç»».	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00	               0.00
