"REGIONID","REGION","DISTRIBUTIONAREAID","DISTRIBUTIONAREASHORTCODE","DISTRIBUTIONAREA","AREAOFFICEID","AREAOFFICESHORTCODE","AREAOFFICE","LOCALOFFICEID","LOCALOFFICESHORTCODE","LOCALOFFICE","MODELTYPEID"
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1403,"F07101_P","กฟฟ.อ.สีคิ้ว (รวมการไฟฟ้าในสังกัด)",955,"F07302","กฟก.เทพารักษ์",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1403,"F07101_P","กฟฟ.อ.สีคิ้ว (รวมการไฟฟ้าในสังกัด)",952,"F07101","กฟฟ.อ.สีคิ้ว",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1403,"F07101_P","กฟฟ.อ.สีคิ้ว (รวมการไฟฟ้าในสังกัด)",954,"F07301","กฟอ.ด่านขุนทด",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1403,"F07101_P","กฟฟ.อ.สีคิ้ว (รวมการไฟฟ้าในสังกัด)",953,"F07201","กฟอ.สูงเนิน",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1405,"F09101_P","กฟฟ.อ.โชคชัย (รวมการไฟฟ้าในสังกัด)",963,"F09101","กฟฟ.อ.โชคชัย",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1405,"F09101_P","กฟฟ.อ.โชคชัย (รวมการไฟฟ้าในสังกัด)",966,"F09401","กฟส.วังน้ำเขียว",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1405,"F09101_P","กฟฟ.อ.โชคชัย (รวมการไฟฟ้าในสังกัด)",964,"F09501","กฟส.อ.หนองบุญมาก",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1405,"F09101_P","กฟฟ.อ.โชคชัย (รวมการไฟฟ้าในสังกัด)",968,"F09601","กฟส.อ.เสิงสาง",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1405,"F09101_P","กฟฟ.อ.โชคชัย (รวมการไฟฟ้าในสังกัด)",967,"F09301","กฟอ.ครบุรี",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1405,"F09101_P","กฟฟ.อ.โชคชัย (รวมการไฟฟ้าในสังกัด)",965,"F09201","กฟอ.ปักธงชัย",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1404,"F08101_P","กฟอ.บัวใหญ่ (รวมการไฟฟ้าในสังกัด)",958,"F08106","กฟก.บัวลาย",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1404,"F08101_P","กฟอ.บัวใหญ่ (รวมการไฟฟ้าในสังกัด)",961,"F08301","กฟอ.คง",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1404,"F08101_P","กฟอ.บัวใหญ่ (รวมการไฟฟ้าในสังกัด)",956,"F08101","กฟอ.บัวใหญ่",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1404,"F08101_P","กฟอ.บัวใหญ่ (รวมการไฟฟ้าในสังกัด)",962,"F08302","กฟอ.บ้านเหลื่อม",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1404,"F08101_P","กฟอ.บัวใหญ่ (รวมการไฟฟ้าในสังกัด)",959,"F08201","กฟอ.ประทาย",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1404,"F08101_P","กฟอ.บัวใหญ่ (รวมการไฟฟ้าในสังกัด)",957,"F08105","กฟอ.แก้งสนามนาง",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1404,"F08101_P","กฟอ.บัวใหญ่ (รวมการไฟฟ้าในสังกัด)",960,"F08202","กฟอ.โนนแดง",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1402,"F06101_P","กฟอ.ปากช่อง (รวมการไฟฟ้าในสังกัด)",950,"F06102","กฟต.กลางดง",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1402,"F06101_P","กฟอ.ปากช่อง (รวมการไฟฟ้าในสังกัด)",1343,"F06105","กฟต.วังหมี",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1402,"F06101_P","กฟอ.ปากช่อง (รวมการไฟฟ้าในสังกัด)",1344,"F06107","กฟย.ต.คลองม่วง",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1402,"F06101_P","กฟอ.ปากช่อง (รวมการไฟฟ้าในสังกัด)",951,"F06201","กฟส.หมูสี",1
1526,"ภาคตะวันออกเฉียงเหนือ",6,"NE3_P","การไฟฟ้าเขต3(นครราชสีมา) ภาค 2",1402,"F06101_P","กฟอ.ปากช่อง (รวมการไฟฟ้าในสังกัด)",949,"F06101","กฟอ.ปากช่อง",1
1524,"ภาคใต้",11,"S2_P","การไฟฟ้าเขต2(นครศรีธรรมราช) ภาค 4",1513,"K08101_P","กฟอ.เกาะสมุย (รวมการไฟฟ้าในสังกัด)",1255,"K08101","กฟอ.เกาะสมุย",1
1524,"ภาคใต้",11,"S2_P","การไฟฟ้าเขต2(นครศรีธรรมราช) ภาค 4",1361,"K00000_P","สนง.เขต ต2 นครศรีฯ(รวมการไฟฟ้าในสังกัด)",432,"K00000","สนง.เขต นครศรีฯ",1
1524,"ภาคใต้",12,"S3_P","การไฟฟ้าเขต3(ยะลา) ภาค 4",1518,"L02101_P","กฟจ.นราธิวาส (รวมการไฟฟ้าในสังกัด)",1276,"L02101","กฟจ.นราธิวาส",1
